id,created_at,updated_at,name,note
1,2024-06-12 13:21:26.994 +0900,2024-06-12 13:21:29.468 +0900,0 to 1 경험,0에서 1을 만들어본 경험을 의미합니다.
2,2024-06-12 13:21:43.350 +0900,2024-06-12 13:21:43.350 +0900,1 to 10 경험,1에서 10까지 만들어 본 경험을 의미합니다.
3,2024-06-12 13:22:31.130 +0900,2024-06-12 13:22:31.130 +0900,spin-off 경험,"회사 내에서 스핀 오프를 경험한 적이 있는지, 그렇게 독립되는 회사에 소속되어 신규 피쳐로 나간것을 의미합니다."
4,2024-06-12 13:23:02.804 +0900,2024-06-12 13:23:02.804 +0900,lay-off 경험,"대규모 정리 해고, 인원 감축 감원의 시기에 버텨낸 것을 의미합니다."
5,2024-06-12 13:23:23.510 +0900,2024-06-12 13:23:23.510 +0900,상위권 회사,"해당 분야, 도메인에서의 상위권 경험이 있는 것을 의미합니다."
7,2024-06-12 15:31:53.693 +0900,2024-06-12 15:31:53.693 +0900,기술관심도높음,"기술적 관심도가 보이는 많은 외부 데이터 확인 가능 (기술 블로그, 깃허브 기타 등)"
8,2024-06-16 01:09:04.356 +0900,2024-07-31 20:48:34.375 +0900,R&D (연구개발),"석박사 논문 확인 가능 또는 R&D 센터 근무, 연구원으로 특정 기술 개발 경험을 의미합니다."
9,2024-06-16 01:12:00.341 +0900,2024-06-16 01:12:00.341 +0900,창업,"스타트업 창업 or 코파운더 경험을 의미합니다. 1인 창업 또는 소비재, 요식업 제외 합니다."
10,2024-06-16 02:11:05.111 +0900,2024-06-16 02:11:05.112 +0900,10 to 100 경험,10에서 100까지 만들어 본 경험을 의미합니다. 100은 IPO 또는 유니콘 정도라고 판단됩니다.
12,2024-06-18 16:06:12.158 +0900,2024-06-22 13:36:45.708 +0900,컨설팅펌,"컨설턴트, 유관 컨설팅펌 출신을 의미합니다."
13,2024-06-20 19:58:53.742 +0900,2024-08-02 20:13:59.015 +0900,PM/PO 경험,"PO, PM 재직 여부 (2년+) 를 의미합니다."
15,2024-06-25 10:24:56.133 +0900,2024-06-25 19:45:04.622 +0900,해외대학,해외대학 (주로 영어권) 학사 이상을 의미합니다.
16,2024-06-25 10:25:16.692 +0900,2024-06-25 19:45:26.920 +0900,CPA/ACCA/CFA,재무관련 자격증이 있다는 것을 의미합니다.
19,2024-06-25 14:33:51.363 +0900,2024-07-02 10:38:33.963 +0900,핀테크,fintech 도메인 경험을 의미합니다.
20,2024-06-26 10:50:02.983 +0900,2024-09-07 11:27:16.481 +0900,이커머스,온라인 E커머스 도메인 경험을 의미합니다.
21,2024-06-26 11:25:01.008 +0900,2024-07-02 10:38:42.339 +0900,광고,"온라인 광고, 마케팅 ad tech 등 경험을 의미합니다."
22,2024-06-26 11:44:09.914 +0900,2024-06-26 11:44:36.110 +0900,Bigquery,Google Bigquery 사용 역량 보유 여부
24,2024-07-01 16:57:40.563 +0900,2024-07-02 10:38:46.760 +0900,커뮤니티/소셜(SNS),B2C 커뮤니티 플랫폼 또는 소셜 네트워크 관련 도메인 경험을 의미합니다.
25,2024-07-01 17:15:33.409 +0900,2024-07-02 10:38:52.421 +0900,숙박/여행/레저,"숙박, 여행, 레저 관련 플랫폼 또는 관련 B2B, B2C 도메인 경험을 의미합니다."
26,2024-07-22 17:06:30.361 +0900,2024-07-22 17:20:44.433 +0900,AGV or AMR,Automated Guided Vehicle 또는 Autonomous Mobile Robot 관련 개발 경험을 의미합니다.
27,2024-07-22 17:08:05.176 +0900,2024-07-22 17:08:05.176 +0900,"ROS & C,C++",Robot Operating System 와 C & C++ 경험을 의미합니다.
28,2024-07-25 11:17:38.110 +0900,2024-07-25 11:17:38.110 +0900,full-stack,client side 와 backend side 개발 모두가 가능할 것으로 판단되는 경험을 의미합니다.
39,2024-08-19 11:08:13.464 +0900,2024-08-20 17:26:43.535 +0900,성장기 스타트업 경험,합류한 시기에 인력 or 트래픽 or 투자 라운드 1.5배 ~ 2배 정도 많이 증가한 기업
40,2024-08-19 11:08:18.635 +0900,2024-08-19 11:10:48.889 +0900,서치펌 경험,"다이렉트 소싱을 기반으로 하는 서치펌의 경험, 1년 이상이 있는 경우"
42,2024-08-19 18:26:15.013 +0900,2024-08-19 18:27:13.894 +0900,웹빌더 경험,"(퓨쳐스콜레에서 파생됨) cafe24, imweb 등과 같이 CMS & 웹을 빌딩하는 서비스 & product 개발 경험을 의미합니다."
43,2024-08-19 18:26:54.347 +0900,2024-08-19 18:27:08.431 +0900,교육 플랫폼 경험,"(퓨쳐스콜레에서 파생됨) 엘리스, class101, 패캠 등과 같이 교육 컨텐스를 다루는 서비스 & product 개발 경험을 의미합니다."
44,2024-08-20 17:27:13.282 +0900,2024-08-20 17:27:20.221 +0900,AI 석사,AI 관련 전공의 석사 졸업 경험을 의미합니다.
45,2024-08-20 17:27:33.012 +0900,2024-08-20 17:27:33.012 +0900,AI 박사,AI 관련 전공의 박사 졸업 경험을 의미합니다.
46,2024-08-20 17:27:58.188 +0900,2024-08-20 17:27:58.188 +0900,딥 러닝,AI 관련 실무 중 deep learning 과 관련된 실무 경험을 의미합니다.
47,2024-08-20 17:28:14.992 +0900,2024-08-20 17:28:14.992 +0900,AI 이미지 처리,AI 관련 실무 중 이미지 처리 와 관련된 실무 경험을 의미합니다.
53,2024-09-07 11:27:00.727 +0900,2024-09-07 11:27:00.727 +0900,"회계, 정산 경험","회계 또는 정산과 관련된 도메인, 프로젝트 경험을 의미합니다."
54,2024-09-07 11:27:51.270 +0900,2024-09-07 11:27:51.270 +0900,PG 경험,"PG(Payment Gateway)사, 결제 대행사 도메인 경험을 의미합니다."
29,2024-07-25 19:41:29.411 +0900,2024-09-20 15:32:00.236 +0900,B2B SaaS,B2B 형태로 SaaS 서비스를 경험한 것을 의미합니다.
35,2024-08-02 20:13:30.562 +0900,2024-09-20 15:32:10.636 +0900,B2B,B2B 형태로 사업/서비스를 경험한 것을 의미합니다.
